Cardio
Date,Exercise,Set,Duration,Speed/Resistance/Distance/Jumps/Sets,Elevation/Avg HR/Incline/Steps,Calories/Laps/Matches,Notes

Exercise
Date,Exercise,Set,Weight,Reps,Notes
"20-Jan-15","romanian deadlift","2","40 kg","10",""
"20-Jan-15","romanian deadlift","3","55 kg","8",""
"20-Jan-15","romanian deadlift","4","55 kg","8",""
"20-Jan-15","romanian deadlift","5","55 kg","8",""
"20-Jan-15","machine leg press","1","115 kg","6",""
"20-Jan-15","machine leg press","2","115 kg","6",""
"20-Jan-15","machine leg press","3","115 kg","6",""
"20-Jan-15","machine leg press","4","115 kg","6",""

"22-Jan-15","air bicycles","1","0.0 kg","120",""
"22-Jan-15","air bicycles","2","0.0 kg","120",""
"22-Jan-15","air bicycles","3","0.0 kg","120",""
"22-Jan-15","cable triceps pushdown","1","18.75 kg","8",""
"22-Jan-15","cable triceps pushdown","2","18.75 kg","10",""
"22-Jan-15","cable triceps pushdown","3","28.75 kg","4",""
"22-Jan-15","cable triceps pushdown","4","38.75 kg","6",""
"22-Jan-15","cable triceps pushdown","5","38.75 kg","6",""
"22-Jan-15","cable triceps pushdown","6","38.75 kg","6",""
"22-Jan-15","standing biceps curl","1","30 kg","8",""
"22-Jan-15","standing biceps curl","2","30 kg","6",""
"22-Jan-15","standing biceps curl","3","30 kg","6",""
"22-Jan-15","dumbbell biceps curl","1","8 kg","8",""
"22-Jan-15","dumbbell biceps curl","2","8 kg","10",""
"22-Jan-15","dumbbell biceps curl","3","14 kg","4",""
"22-Jan-15","dumbbell biceps curl","4","16 kg","6",""
"22-Jan-15","dumbbell biceps curl","5","16 kg","6","struggling"
"22-Jan-15","dumbbell biceps curl","6","16 kg","6","struggling"
"22-Jan-15","lying triceps extension","1","24 kg","12",""
"22-Jan-15","lying triceps extension","2","24 kg","12",""
"22-Jan-15","lying triceps extension","3","24 kg","12",""
"22-Jan-15","lying triceps extension","4","24 kg","12",""
"22-Jan-15","captains chair leg raise","1","0.0 kg","10",""
"22-Jan-15","captains chair leg raise","2","0.0 kg","10",""
"22-Jan-15","captains chair leg raise","3","0.0 kg","10",""
"22-Jan-15","captains chair leg raise","4","0.0 kg","10",""
"22-Jan-15","kneeling cable crunch","1","38.75 kg","10",""
"22-Jan-15","kneeling cable crunch","2","38.75 kg","10",""
"22-Jan-15","kneeling cable crunch","3","38.75 kg","10",""
"22-Jan-15","kneeling cable crunch","4","38.75 kg","10",""

"24-Jan-15","air bicycles","1","0.0 kg","120",""
"24-Jan-15","air bicycles","2","0.0 kg","120",""
"24-Jan-15","air bicycles","3","0.0 kg","120",""
"24-Jan-15","dip","1","0.0 kg","8",""
"24-Jan-15","dip","2","0.0 kg","8",""
"24-Jan-15","dip","3","0.0 kg","8",""
"24-Jan-15","dip","4","0.0 kg","8",""
"24-Jan-15","incline barbell bench press","1","48 kg","6",""
"24-Jan-15","incline barbell bench press","2","48 kg","6",""
"24-Jan-15","incline barbell bench press","3","48 kg","6",""
"24-Jan-15","barbell bench press","1","44 kg","8",""
"24-Jan-15","barbell bench press","2","44 kg","8",""
"24-Jan-15","barbell bench press","3","44 kg","8",""
"24-Jan-15","barbell bench press","4","56 kg","6",""
"24-Jan-15","barbell bench press","5","56 kg","6",""
"24-Jan-15","barbell bench press","6","56 kg","6",""
"24-Jan-15","captains chair leg raise","1","0.0 kg","10",""
"24-Jan-15","captains chair leg raise","2","0.0 kg","10",""
"24-Jan-15","captains chair leg raise","3","0.0 kg","10",""
"24-Jan-15","captains chair leg raise","4","0.0 kg","10",""
"24-Jan-15","kneeling cable crunch","1","38.75 kg","10",""
"24-Jan-15","kneeling cable crunch","2","38.75 kg","10",""
"24-Jan-15","kneeling cable crunch","3","38.75 kg","10",""
"24-Jan-15","kneeling cable crunch","4","38.75 kg","10",""

"25-Jan-15","one-arm row","1","16 kg","8",""
"25-Jan-15","one-arm row","2","16 kg","10",""
"25-Jan-15","one-arm row","3","22 kg","4",""
"25-Jan-15","one-arm row","4","30 kg","6",""
"25-Jan-15","one-arm row","5","30 kg","6",""
"25-Jan-15","one-arm row","6","30 kg","6",""
"25-Jan-15","calf raise","1","120 kg","12",""
"25-Jan-15","calf raise","2","120 kg","12",""
"25-Jan-15","calf raise","3","120 kg","12",""
"25-Jan-15","calf raise","4","120 kg","12",""
"25-Jan-15","deadlift","1","40 kg","8",""
"25-Jan-15","deadlift","2","40 kg","10",""
"25-Jan-15","deadlift","3","60 kg","4",""
"25-Jan-15","deadlift","4","80 kg","6",""
"25-Jan-15","deadlift","5","80 kg","6",""
"25-Jan-15","deadlift","6","80 kg","6",""
"25-Jan-15","lat pulldown","1","87 kg","6",""
"25-Jan-15","lat pulldown","2","87 kg","6",""
"25-Jan-15","lat pulldown","3","87 kg","5","failed"

"26-Jan-15","machine shoulder press","1","25 kg","8",""
"26-Jan-15","machine shoulder press","2","25 kg","10",""
"26-Jan-15","machine shoulder press","3","35 kg","4",""
"26-Jan-15","machine shoulder press","4","45 kg","6",""
"26-Jan-15","machine shoulder press","5","45 kg","5","failed"
"26-Jan-15","machine shoulder press","6","45 kg","6",""
"26-Jan-15","barbell shrug","1","68 kg","12",""
"26-Jan-15","barbell shrug","2","68 kg","12",""
"26-Jan-15","barbell shrug","3","68 kg","12",""
"26-Jan-15","barbell shrug","4","68 kg","12",""
"26-Jan-15","cable side lateral raise","1","6.875 kg","6",""
"26-Jan-15","cable side lateral raise","2","6.875 kg","6",""
"26-Jan-15","cable side lateral raise","3","6.875 kg","6",""
"26-Jan-15","cable side lateral raise","4","6.875 kg","6",""
"26-Jan-15","rear lateral raise","1","8 kg","8",""
"26-Jan-15","rear lateral raise","2","8 kg","8",""
"26-Jan-15","rear lateral raise","3","8 kg","8",""
"26-Jan-15","rear lateral raise","4","8 kg","8",""
"26-Jan-15","rear lateral raise","5","8 kg","8",""

"27-Jan-15","barbell squat","1","20 kg","8",""
"27-Jan-15","barbell squat","2","40 kg","8",""
"27-Jan-15","barbell squat","3","65 kg","6",""
"27-Jan-15","barbell squat","4","65 kg","6",""
"27-Jan-15","barbell squat","5","65 kg","6",""
"27-Jan-15","romanian deadlift","1","40 kg","8",""
"27-Jan-15","romanian deadlift","2","40 kg","10",""
"27-Jan-15","romanian deadlift","3","55 kg","8",""
"27-Jan-15","romanian deadlift","4","55 kg","8",""
"27-Jan-15","romanian deadlift","5","55 kg","8",""
"27-Jan-15","machine leg press","1","115 kg","8",""
"27-Jan-15","machine leg press","2","115 kg","8",""
"27-Jan-15","machine leg press","3","115 kg","8",""
"27-Jan-15","machine leg press","4","115 kg","8",""

"31-Jan-15","air bicycles","1","0.0 kg","120",""
"31-Jan-15","air bicycles","2","0.0 kg","120",""
"31-Jan-15","air bicycles","3","0.0 kg","120",""
"31-Jan-15","cable triceps pushdown","1","18.75 kg","8",""
"31-Jan-15","cable triceps pushdown","2","18.75 kg","10",""
"31-Jan-15","cable triceps pushdown","3","28.75 kg","4",""
"31-Jan-15","cable triceps pushdown","4","38.75 kg","6",""
"31-Jan-15","cable triceps pushdown","5","38.75 kg","6",""
"31-Jan-15","cable triceps pushdown","6","38.75 kg","6",""
"31-Jan-15","standing biceps curl","1","25 kg","10","30s in use"
"31-Jan-15","standing biceps curl","2","25 kg","10",""
"31-Jan-15","standing biceps curl","3","25 kg","9",""
"31-Jan-15","dumbbell biceps curl","1","8 kg","8",""
"31-Jan-15","dumbbell biceps curl","2","8 kg","10",""
"31-Jan-15","dumbbell biceps curl","3","14 kg","4",""
"31-Jan-15","dumbbell biceps curl","4","16 kg","6",""
"31-Jan-15","dumbbell biceps curl","5","16 kg","6",""
"31-Jan-15","dumbbell biceps curl","6","16 kg","6",""
"31-Jan-15","lying triceps extension","1","24 kg","12",""
"31-Jan-15","lying triceps extension","2","24 kg","12",""
"31-Jan-15","lying triceps extension","3","24 kg","12",""
"31-Jan-15","lying triceps extension","4","24 kg","12",""
"31-Jan-15","captains chair leg raise","1","0.0 kg","10",""
"31-Jan-15","captains chair leg raise","2","0.0 kg","10",""
"31-Jan-15","captains chair leg raise","3","0.0 kg","10",""
"31-Jan-15","captains chair leg raise","4","0.0 kg","10",""
"31-Jan-15","kneeling cable crunch","1","38.75 kg","10",""
"31-Jan-15","kneeling cable crunch","2","38.75 kg","10",""
"31-Jan-15","kneeling cable crunch","3","38.75 kg","10",""
"31-Jan-15","kneeling cable crunch","4","38.75 kg","10",""

"03-Feb-15","air bicycles","1","0.0 kg","120",""
"03-Feb-15","air bicycles","2","0.0 kg","120",""
"03-Feb-15","air bicycles","3","0.0 kg","120",""
"03-Feb-15","dip","1","0.0 kg","8",""
"03-Feb-15","dip","2","0.0 kg","8",""
"03-Feb-15","dip","3","0.0 kg","8",""
"03-Feb-15","dip","4","0.0 kg","8",""
"03-Feb-15","incline barbell bench press","1","52 kg","6",""
"03-Feb-15","incline barbell bench press","2","52 kg","6",""
"03-Feb-15","incline barbell bench press","3","52 kg","6",""
"03-Feb-15","barbell bench press","1","44 kg","8",""
"03-Feb-15","barbell bench press","2","44 kg","8",""
"03-Feb-15","barbell bench press","3","44 kg","8",""
"03-Feb-15","barbell bench press","4","60 kg","6",""
"03-Feb-15","barbell bench press","5","60 kg","6",""
"03-Feb-15","barbell bench press","6","60 kg","6",""
"03-Feb-15","captains chair leg raise","1","0.0 kg","10",""
"03-Feb-15","captains chair leg raise","2","0.0 kg","10",""
"03-Feb-15","captains chair leg raise","3","0.0 kg","10",""
"03-Feb-15","captains chair leg raise","4","0.0 kg","10",""
"03-Feb-15","kneeling cable crunch","1","38.75 kg","10",""
"03-Feb-15","kneeling cable crunch","2","38.75 kg","10",""
"03-Feb-15","kneeling cable crunch","3","38.75 kg","10",""
"03-Feb-15","kneeling cable crunch","4","38.75 kg","10",""

"05-Feb-15","one-arm row","1","16 kg","8",""
"05-Feb-15","one-arm row","2","16 kg","10",""
"05-Feb-15","one-arm row","3","22 kg","4",""
"05-Feb-15","one-arm row","4","30 kg","6",""
"05-Feb-15","one-arm row","5","30 kg","6",""
"05-Feb-15","one-arm row","6","30 kg","6",""
"05-Feb-15","calf raise","1","120 kg","12",""
"05-Feb-15","calf raise","2","130 kg","12",""
"05-Feb-15","calf raise","3","130 kg","12",""
"05-Feb-15","calf raise","4","130 kg","12",""
"05-Feb-15","deadlift","1","40 kg","8",""
"05-Feb-15","deadlift","2","40 kg","10",""
"05-Feb-15","deadlift","3","60 kg","4",""
"05-Feb-15","deadlift","4","80 kg","6",""
"05-Feb-15","deadlift","5","80 kg","6",""
"05-Feb-15","deadlift","6","80 kg","6",""
"05-Feb-15","lat pulldown","1","87 kg","6",""
"05-Feb-15","lat pulldown","2","87 kg","5","failed on 6"
"05-Feb-15","lat pulldown","3","84.5 kg","5","failed on 6"

"06-Feb-15","dumbbell lateral raise","1","8 kg","8",""
"06-Feb-15","dumbbell lateral raise","2","8 kg","8",""
"06-Feb-15","dumbbell lateral raise","3","8 kg","8",""
"06-Feb-15","dumbbell lateral raise","4","8 kg","8",""
"06-Feb-15","machine shoulder press","1","25 kg","8",""
"06-Feb-15","machine shoulder press","2","25 kg","10",""
"06-Feb-15","machine shoulder press","3","35 kg","4",""
"06-Feb-15","machine shoulder press","4","45 kg","6",""
"06-Feb-15","machine shoulder press","5","45 kg","6",""
"06-Feb-15","machine shoulder press","6","45 kg","6",""
"06-Feb-15","barbell shrug","1","55 kg","12",""
"06-Feb-15","barbell shrug","2","55 kg","12",""
"06-Feb-15","barbell shrug","3","55 kg","12",""
"06-Feb-15","barbell shrug","4","55 kg","12",""
"06-Feb-15","barbell shrug","5","55 kg","12",""
"06-Feb-15","rear lateral raise","1","8 kg","8",""
"06-Feb-15","rear lateral raise","2","8 kg","8",""
"06-Feb-15","rear lateral raise","3","8 kg","8",""
"06-Feb-15","rear lateral raise","4","8 kg","8",""
"06-Feb-15","rear lateral raise","5","8 kg","8",""

"07-Feb-15","machine leg press","1","115 kg","8",""
"07-Feb-15","machine leg press","2","115 kg","6",""
"07-Feb-15","machine leg press","3","115 kg","6",""
"07-Feb-15","machine leg press","4","115 kg","6",""
"07-Feb-15","air bicycles","1","0.0 kg","120",""
"07-Feb-15","air bicycles","2","0.0 kg","120",""
"07-Feb-15","air bicycles","3","0.0 kg","120",""
"07-Feb-15","air bicycles","4","0.0 kg","120",""
"07-Feb-15","barbell squat","1","20 kg","8",""
"07-Feb-15","barbell squat","2","20 kg","10",""
"07-Feb-15","barbell squat","3","40 kg","8",""
"07-Feb-15","barbell squat","4","65 kg","6",""
"07-Feb-15","barbell squat","5","65 kg","6",""
"07-Feb-15","barbell squat","6","65 kg","6",""
"07-Feb-15","barbell squat","7","65 kg","6",""
"07-Feb-15","romanian deadlift","1","40 kg","8",""
"07-Feb-15","romanian deadlift","2","40 kg","10",""
"07-Feb-15","romanian deadlift","3","55 kg","8",""
"07-Feb-15","romanian deadlift","4","55 kg","8",""
"07-Feb-15","romanian deadlift","5","55 kg","8",""
"07-Feb-15","romanian deadlift","6","55 kg","8",""
"07-Feb-15","captains chair leg raise","1","0.0 kg","10",""
"07-Feb-15","captains chair leg raise","2","0.0 kg","10",""
"07-Feb-15","captains chair leg raise","3","0.0 kg","10",""
"07-Feb-15","captains chair leg raise","4","0.0 kg","10",""
"07-Feb-15","kneeling cable crunch","1","38.75 kg","10",""
"07-Feb-15","kneeling cable crunch","2","38.75 kg","10",""
"07-Feb-15","kneeling cable crunch","3","38.75 kg","10",""
"07-Feb-15","kneeling cable crunch","4","38.75 kg","10",""

"08-Feb-15","cable triceps pushdown","1","18.75 kg","8",""
"08-Feb-15","cable triceps pushdown","2","18.75 kg","10",""
"08-Feb-15","cable triceps pushdown","3","28.75 kg","4",""
"08-Feb-15","cable triceps pushdown","4","38.75 kg","6",""
"08-Feb-15","cable triceps pushdown","5","38.75 kg","6",""
"08-Feb-15","cable triceps pushdown","6","38.75 kg","6",""
"08-Feb-15","standing biceps curl","1","30 kg","8",""
"08-Feb-15","standing biceps curl","2","30 kg","8",""
"08-Feb-15","standing biceps curl","3","30 kg","5","failed"
"08-Feb-15","dumbbell biceps curl","1","8 kg","8",""
"08-Feb-15","dumbbell biceps curl","2","8 kg","10",""
"08-Feb-15","dumbbell biceps curl","3","14 kg","4",""
"08-Feb-15","dumbbell biceps curl","4","16 kg","6",""
"08-Feb-15","dumbbell biceps curl","5","16 kg","6",""
"08-Feb-15","dumbbell biceps curl","6","16 kg","6",""
"08-Feb-15","lying triceps extension","1","24 kg","12",""
"08-Feb-15","lying triceps extension","2","24 kg","12",""
"08-Feb-15","lying triceps extension","3","24 kg","12",""
"08-Feb-15","lying triceps extension","4","24 kg","12",""

"10-Feb-15","air bicycles","1","0.0 kg","120",""
"10-Feb-15","air bicycles","2","0.0 kg","120",""
"10-Feb-15","air bicycles","3","0.0 kg","120",""
"10-Feb-15","dip","1","0.0 kg","10",""
"10-Feb-15","dip","2","0.0 kg","10",""
"10-Feb-15","dip","3","0.0 kg","10",""
"10-Feb-15","dip","4","0.0 kg","10",""
"10-Feb-15","incline barbell bench press","1","52 kg","6",""
"10-Feb-15","incline barbell bench press","2","52 kg","6",""
"10-Feb-15","incline barbell bench press","3","52 kg","6",""
"10-Feb-15","barbell bench press","1","44 kg","8",""
"10-Feb-15","barbell bench press","2","44 kg","8",""
"10-Feb-15","barbell bench press","3","44 kg","8",""
"10-Feb-15","barbell bench press","4","60 kg","6",""
"10-Feb-15","barbell bench press","5","60 kg","6",""
"10-Feb-15","barbell bench press","6","60 kg","6",""
"10-Feb-15","captains chair leg raise","1","0.0 kg","10",""
"10-Feb-15","captains chair leg raise","2","0.0 kg","10",""
"10-Feb-15","captains chair leg raise","3","0.0 kg","10",""
"10-Feb-15","captains chair leg raise","4","0.0 kg","10",""
"10-Feb-15","kneeling cable crunch","1","38.75 kg","10",""
"10-Feb-15","kneeling cable crunch","2","38.75 kg","10",""
"10-Feb-15","kneeling cable crunch","3","38.75 kg","10",""
"10-Feb-15","kneeling cable crunch","4","38.75 kg","10",""

"11-Feb-15","one-arm row","1","18 kg","8",""
"11-Feb-15","one-arm row","2","18 kg","10",""
"11-Feb-15","one-arm row","3","22 kg","4",""
"11-Feb-15","one-arm row","4","30 kg","6",""
"11-Feb-15","one-arm row","5","30 kg","6",""
"11-Feb-15","one-arm row","6","30 kg","6",""
"11-Feb-15","calf raise","1","120 kg","12",""
"11-Feb-15","calf raise","2","120 kg","12",""
"11-Feb-15","calf raise","3","120 kg","12",""
"11-Feb-15","calf raise","4","120 kg","12",""
"11-Feb-15","deadlift","1","40 kg","8",""
"11-Feb-15","deadlift","2","40 kg","10",""
"11-Feb-15","deadlift","3","60 kg","4",""
"11-Feb-15","deadlift","4","80 kg","6",""
"11-Feb-15","deadlift","5","80 kg","6",""
"11-Feb-15","deadlift","6","80 kg","6",""
"11-Feb-15","lat pulldown","1","87 kg","6",""
"11-Feb-15","lat pulldown","2","87 kg","6",""
"11-Feb-15","lat pulldown","3","87 kg","6",""

"12-Feb-15","machine shoulder press","1","25 kg","12",""
"12-Feb-15","machine shoulder press","2","25 kg","10",""
"12-Feb-15","machine shoulder press","3","35 kg","4",""
"12-Feb-15","machine shoulder press","4","42.5 kg","1",""
"12-Feb-15","machine shoulder press","5","45 kg","6",""
"12-Feb-15","machine shoulder press","6","45 kg","6",""
"12-Feb-15","machine shoulder press","7","45 kg","6",""
"12-Feb-15","barbell shrug","1","68 kg","12",""
"12-Feb-15","barbell shrug","2","68 kg","12",""
"12-Feb-15","barbell shrug","3","68 kg","12",""
"12-Feb-15","barbell shrug","4","68 kg","12",""
"12-Feb-15","cable side lateral raise","1","7.5 kg","6",""
"12-Feb-15","cable side lateral raise","2","7.5 kg","6",""
"12-Feb-15","cable side lateral raise","3","7.5 kg","6",""
"12-Feb-15","cable side lateral raise","4","7.5 kg","6",""
"12-Feb-15","rear lateral raise","1","8 kg","8",""
"12-Feb-15","rear lateral raise","2","8 kg","8",""
"12-Feb-15","rear lateral raise","3","8 kg","8",""
"12-Feb-15","rear lateral raise","4","8 kg","8",""
"12-Feb-15","rear lateral raise","5","8 kg","8",""

"13-Feb-15","air bicycles","1","0.0 kg","120",""
"13-Feb-15","air bicycles","2","0.0 kg","120",""
"13-Feb-15","air bicycles","3","0.0 kg","120",""
"13-Feb-15","cable triceps pushdown","1","18.75 kg","12",""
"13-Feb-15","cable triceps pushdown","2","18.75 kg","10",""
"13-Feb-15","cable triceps pushdown","3","28.75 kg","4",""
"13-Feb-15","cable triceps pushdown","4","38.75 kg","6",""
"13-Feb-15","cable triceps pushdown","5","38.75 kg","6",""
"13-Feb-15","cable triceps pushdown","6","38.75 kg","6",""
"13-Feb-15","standing biceps curl","1","35 kg","6",""
"13-Feb-15","standing biceps curl","2","30 kg","6",""
"13-Feb-15","standing biceps curl","3","30 kg","6",""
"13-Feb-15","dumbbell biceps curl","1","8 kg","12",""
"13-Feb-15","dumbbell biceps curl","2","8 kg","10",""
"13-Feb-15","dumbbell biceps curl","3","14 kg","4",""
"13-Feb-15","dumbbell biceps curl","4","16 kg","6",""
"13-Feb-15","dumbbell biceps curl","5","16 kg","6",""
"13-Feb-15","dumbbell biceps curl","6","16 kg","6",""
"13-Feb-15","lying triceps extension","1","24 kg","12",""
"13-Feb-15","lying triceps extension","2","24 kg","12",""
"13-Feb-15","lying triceps extension","3","24 kg","12",""
"13-Feb-15","lying triceps extension","4","24 kg","12",""
"13-Feb-15","captains chair leg raise","1","0.0 kg","12",""
"13-Feb-15","captains chair leg raise","2","0.0 kg","12",""
"13-Feb-15","captains chair leg raise","3","0.0 kg","12",""
"13-Feb-15","captains chair leg raise","4","0.0 kg","12",""
"13-Feb-15","kneeling cable crunch","1","38.75 kg","10",""
"13-Feb-15","kneeling cable crunch","2","38.75 kg","10",""
"13-Feb-15","kneeling cable crunch","3","38.75 kg","10",""
"13-Feb-15","kneeling cable crunch","4","38.75 kg","10",""

"16-Feb-15","machine leg press","1","65 kg","12",""
"16-Feb-15","machine leg press","2","65 kg","10",""
"16-Feb-15","machine leg press","3","85 kg","4",""
"16-Feb-15","machine leg press","4","105 kg","1",""
"16-Feb-15","machine leg press","5","115 kg","6",""
"16-Feb-15","machine leg press","6","115 kg","8",""
"16-Feb-15","machine leg press","7","115 kg","8",""
"16-Feb-15","air bicycles","1","0.0 kg","120",""
"16-Feb-15","air bicycles","2","0.0 kg","120",""
"16-Feb-15","air bicycles","3","0.0 kg","120",""
"16-Feb-15","barbell squat","1","20 kg","12",""
"16-Feb-15","barbell squat","2","20 kg","10",""
"16-Feb-15","barbell squat","3","40 kg","8",""
"16-Feb-15","barbell squat","4","40 kg","8",""
"16-Feb-15","barbell squat","5","40 kg","8",""
"16-Feb-15","barbell squat","6","40 kg","8",""
"16-Feb-15","romanian deadlift","1","40 kg","12",""
"16-Feb-15","romanian deadlift","2","40 kg","10",""
"16-Feb-15","romanian deadlift","3","55 kg","8",""
"16-Feb-15","romanian deadlift","4","55 kg","8",""
"16-Feb-15","romanian deadlift","5","55 kg","8",""
"16-Feb-15","romanian deadlift","6","55 kg","8",""
"16-Feb-15","captains chair leg raise","1","0.0 kg","10",""
"16-Feb-15","captains chair leg raise","2","0.0 kg","12",""
"16-Feb-15","captains chair leg raise","3","0.0 kg","12",""
"16-Feb-15","captains chair leg raise","4","0.0 kg","12",""
"16-Feb-15","kneeling cable crunch","1","38.75 kg","10",""
"16-Feb-15","kneeling cable crunch","2","38.75 kg","10",""
"16-Feb-15","kneeling cable crunch","3","38.75 kg","10",""
"16-Feb-15","kneeling cable crunch","4","38.75 kg","10",""

"17-Feb-15","dip","1","0.0 kg","10",""
"17-Feb-15","dip","2","0.0 kg","10",""
"17-Feb-15","dip","3","0.0 kg","10",""
"17-Feb-15","dip","4","0.0 kg","10",""
"17-Feb-15","dip","5","0.0 kg","10",""
"17-Feb-15","incline barbell bench press","1","52 kg","6",""
"17-Feb-15","incline barbell bench press","2","52 kg","6",""
"17-Feb-15","incline barbell bench press","3","52 kg","6",""
"17-Feb-15","barbell bench press","1","36 kg","12",""
"17-Feb-15","barbell bench press","2","36 kg","10",""
"17-Feb-15","barbell bench press","3","48 kg","4",""
"17-Feb-15","barbell bench press","4","60 kg","6",""
"17-Feb-15","barbell bench press","5","60 kg","6",""
"17-Feb-15","barbell bench press","6","60 kg","6",""

"19-Feb-15","one-arm row","1","18 kg","12",""
"19-Feb-15","one-arm row","2","18 kg","10",""
"19-Feb-15","one-arm row","3","24 kg","4",""
"19-Feb-15","one-arm row","4","32 kg","6",""
"19-Feb-15","one-arm row","5","32 kg","6",""
"19-Feb-15","one-arm row","6","32 kg","6",""
"19-Feb-15","calf raise","1","125 kg","12","using seated leg press machine"
"19-Feb-15","calf raise","2","125 kg","12","using seated leg press machine"
"19-Feb-15","calf raise","3","125 kg","12","using seated leg press machine"
"19-Feb-15","calf raise","4","125 kg","12","using seated leg press machine"
"19-Feb-15","deadlift","1","40 kg","12",""
"19-Feb-15","deadlift","2","40 kg","10",""
"19-Feb-15","deadlift","3","55 kg","8",""
"19-Feb-15","deadlift","4","55 kg","8",""
"19-Feb-15","deadlift","5","55 kg","8",""
"19-Feb-15","deadlift","6","55 kg","8",""
"19-Feb-15","deadlift","7","55 kg","8",""
"19-Feb-15","lat pulldown","1","87 kg","6",""
"19-Feb-15","lat pulldown","2","87 kg","6",""
"19-Feb-15","lat pulldown","3","87 kg","6",""

"20-Feb-15","dumbbell lateral raise","1","10 kg","8",""
"20-Feb-15","dumbbell lateral raise","2","8 kg","8",""
"20-Feb-15","dumbbell lateral raise","3","8 kg","8",""
"20-Feb-15","dumbbell lateral raise","4","8 kg","8",""
"20-Feb-15","dumbbell lateral raise","5","8 kg","8",""
"20-Feb-15","machine shoulder press","1","25 kg","12",""
"20-Feb-15","machine shoulder press","2","25 kg","10",""
"20-Feb-15","machine shoulder press","3","35 kg","4",""
"20-Feb-15","machine shoulder press","4","45 kg","1",""
"20-Feb-15","machine shoulder press","5","47.5 kg","6",""
"20-Feb-15","machine shoulder press","6","47.5 kg","4","FAILED"
"20-Feb-15","machine shoulder press","7","45 kg","5",""
"20-Feb-15","machine shoulder press","8","45 kg","6",""
"20-Feb-15","barbell shrug","1","68 kg","12",""
"20-Feb-15","barbell shrug","2","68 kg","12",""
"20-Feb-15","barbell shrug","3","68 kg","12",""
"20-Feb-15","barbell shrug","4","68 kg","12",""
"20-Feb-15","rear lateral raise","1","10 kg","8",""
"20-Feb-15","rear lateral raise","2","10 kg","8",""
"20-Feb-15","rear lateral raise","3","10 kg","8",""
"20-Feb-15","rear lateral raise","4","10 kg","8",""
"20-Feb-15","rear lateral raise","5","10 kg","8",""

"21-Feb-15","barbell squat","1","20 kg","12",""
"21-Feb-15","barbell squat","2","20 kg","10",""
"21-Feb-15","barbell squat","3","50 kg","4",""
"21-Feb-15","barbell squat","4","60 kg","1",""
"21-Feb-15","barbell squat","5","70 kg","6",""
"21-Feb-15","barbell squat","6","70 kg","6",""
"21-Feb-15","barbell squat","7","70 kg","6",""
"21-Feb-15","romanian deadlift","1","40 kg","12",""
"21-Feb-15","romanian deadlift","2","40 kg","10",""
"21-Feb-15","romanian deadlift","3","55 kg","8",""
"21-Feb-15","romanian deadlift","4","55 kg","8",""
"21-Feb-15","romanian deadlift","5","55 kg","8",""
"21-Feb-15","romanian deadlift","6","55 kg","8",""
"21-Feb-15","machine leg press","1","65 kg","12",""
"21-Feb-15","machine leg press","2","65 kg","10",""
"21-Feb-15","machine leg press","3","85 kg","4",""
"21-Feb-15","machine leg press","4","105 kg","1",""
"21-Feb-15","machine leg press","5","120 kg","8",""
"21-Feb-15","machine leg press","6","120 kg","8",""
"21-Feb-15","machine leg press","7","120 kg","8",""

"22-Feb-15","air bicycles","1","0.0 kg","120",""
"22-Feb-15","air bicycles","2","0.0 kg","120",""
"22-Feb-15","air bicycles","3","0.0 kg","120",""
"22-Feb-15","cable triceps pushdown","1","18.75 kg","12",""
"22-Feb-15","cable triceps pushdown","2","18.75 kg","10",""
"22-Feb-15","cable triceps pushdown","3","28.75 kg","4",""
"22-Feb-15","cable triceps pushdown","4","38.75 kg","6",""
"22-Feb-15","cable triceps pushdown","5","38.75 kg","6",""
"22-Feb-15","cable triceps pushdown","6","38.75 kg","6",""
"22-Feb-15","standing biceps curl","1","35 kg","6",""
"22-Feb-15","standing biceps curl","2","35 kg","5","failed"
"22-Feb-15","standing biceps curl","3","30 kg","6",""
"22-Feb-15","standing biceps curl","4","30 kg","5","failed "
"22-Feb-15","dumbbell biceps curl","1","8 kg","12",""
"22-Feb-15","dumbbell biceps curl","2","8 kg","10",""
"22-Feb-15","dumbbell biceps curl","3","14 kg","4",""
"22-Feb-15","dumbbell biceps curl","4","16 kg","1",""
"22-Feb-15","dumbbell biceps curl","5","16 kg","6",""
"22-Feb-15","dumbbell biceps curl","6","16 kg","6",""
"22-Feb-15","dumbbell biceps curl","7","16 kg","6","failed on left"
"22-Feb-15","lying triceps extension","1","26 kg","12",""
"22-Feb-15","lying triceps extension","2","26 kg","12",""
"22-Feb-15","lying triceps extension","3","26 kg","12",""
"22-Feb-15","lying triceps extension","4","26 kg","12",""
"22-Feb-15","captains chair leg raise","1","0.0 kg","12",""
"22-Feb-15","captains chair leg raise","2","0.0 kg","12",""
"22-Feb-15","captains chair leg raise","3","0.0 kg","12",""
"22-Feb-15","captains chair leg raise","4","0.0 kg","12",""
"22-Feb-15","kneeling cable crunch","1","39.375 kg","12",""
"22-Feb-15","kneeling cable crunch","2","39.375 kg","12",""
"22-Feb-15","kneeling cable crunch","3","39.375 kg","12",""
"22-Feb-15","kneeling cable crunch","4","39.375 kg","12",""

"28-Feb-15","air bicycles","1","0.0 kg","140",""
