Cardio
Date,Exercise,Set,Duration,Speed/Resistance/Distance/Jumps/Sets,Elevation/Avg HR/Incline/Steps,Calories/Laps/Matches,Notes

Exercise
Date,Exercise,Set,Weight,Reps,Notes
"23-Sep-14","one-arm row","6","22 kg","6",""
"23-Sep-14","calf raise","1","80 kg","12",""
"23-Sep-14","calf raise","2","90 kg","12",""
"23-Sep-14","calf raise","3","90 kg","12",""
"23-Sep-14","calf raise","4","90 kg","12",""
"23-Sep-14","deadlift","1","40 kg","8",""
"23-Sep-14","deadlift","2","40 kg","8",""
"23-Sep-14","deadlift","3","40 kg","12",""
"23-Sep-14","deadlift","4","55 kg","6",""
"23-Sep-14","deadlift","5","55 kg","6",""
"23-Sep-14","deadlift","6","55 kg","6",""
"23-Sep-14","lat pulldown","1","68 kg","6",""
"23-Sep-14","lat pulldown","2","68 kg","6",""
"23-Sep-14","lat pulldown","3","75 kg","6",""

"24-Sep-14","bar military press","1","25 kg","8",""
"24-Sep-14","bar military press","2","25 kg","8",""
"24-Sep-14","bar military press","3","25 kg","12",""
"24-Sep-14","bar military press","4","35 kg","6","TOUGH"
"24-Sep-14","bar military press","5","35 kg","5","TOUGH"
"24-Sep-14","bar military press","6","30 kg","6",""
"24-Sep-14","barbell shrug","1","50 kg","8",""
"24-Sep-14","barbell shrug","2","50 kg","10",""
"24-Sep-14","barbell shrug","3","50 kg","10",""
"24-Sep-14","barbell shrug","4","50 kg","10",""
"24-Sep-14","cable side lateral raise","1","8 kg","8","dumbells"
"24-Sep-14","cable side lateral raise","2","8 kg","8","dumbells"
"24-Sep-14","cable side lateral raise","3","8 kg","8","dumbells"
"24-Sep-14","cable side lateral raise","4","8 kg","8","dumbells"
"24-Sep-14","barbell rear delt raise","1","30 kg","8",""
"24-Sep-14","barbell rear delt raise","2","30 kg","8",""
"24-Sep-14","barbell rear delt raise","3","30 kg","8",""

"25-Sep-14","air bicycles","1","0.0 kg","50",""
"25-Sep-14","air bicycles","2","0.0 kg","50",""
"25-Sep-14","air bicycles","3","0.0 kg","50",""
"25-Sep-14","cable triceps pushdown","1","28.75 kg","6",""
"25-Sep-14","cable triceps pushdown","2","28.75 kg","6",""
"25-Sep-14","cable triceps pushdown","3","28.75 kg","8",""
"25-Sep-14","seated triceps extension","1","16 kg","6",""
"25-Sep-14","seated triceps extension","2","16 kg","6",""
"25-Sep-14","seated triceps extension","3","16 kg","6",""
"25-Sep-14","standing biceps curl","1","25 kg","6",""
"25-Sep-14","standing biceps curl","2","25 kg","6",""
"25-Sep-14","standing biceps curl","3","25 kg","6",""
"25-Sep-14","dumbbell biceps curl","1","12 kg","8",""
"25-Sep-14","dumbbell biceps curl","2","12 kg","8",""
"25-Sep-14","dumbbell biceps curl","3","12 kg","8",""
"25-Sep-14","dumbbell biceps curl","4","14 kg","6","tough"
"25-Sep-14","dumbbell biceps curl","5","14 kg","6","almost failing"
"25-Sep-14","dumbbell biceps curl","6","14 kg","6","almost failing"
"25-Sep-14","captains chair leg raise","1","0.0 kg","8",""
"25-Sep-14","captains chair leg raise","2","0.0 kg","8",""
"25-Sep-14","captains chair leg raise","3","0.0 kg","8",""
"25-Sep-14","captains chair leg raise","4","0.0 kg","8",""
"25-Sep-14","kneeling cable crunch","1","26.25 kg","8",""
"25-Sep-14","kneeling cable crunch","2","26.25 kg","8",""
"25-Sep-14","kneeling cable crunch","3","26.25 kg","8",""
"25-Sep-14","kneeling cable crunch","4","26.25 kg","8",""

"26-Sep-14","barbell squat","1","0 kg","8",""
"26-Sep-14","barbell squat","2","0 kg","8",""
"26-Sep-14","barbell squat","3","20 kg","8",""
"26-Sep-14","barbell squat","4","40 kg","6",""
"26-Sep-14","barbell squat","5","40 kg","6",""
"26-Sep-14","barbell squat","6","40 kg","6",""
"26-Sep-14","romanian deadlift","1","50 kg","8",""
"26-Sep-14","romanian deadlift","2","50 kg","8",""
"26-Sep-14","romanian deadlift","3","50 kg","8",""
"26-Sep-14","romanian deadlift","4","50 kg","8",""
"26-Sep-14","machine leg press","1","105 kg","8",""
"26-Sep-14","machine leg press","2","105 kg","8",""
"26-Sep-14","machine leg press","3","105 kg","8",""
"26-Sep-14","machine leg press","4","105 kg","8",""

"29-Sep-14","air bicycles","1","0.0 kg","55",""
"29-Sep-14","air bicycles","2","0.0 kg","55",""
"29-Sep-14","air bicycles","3","0.0 kg","55",""
"29-Sep-14","dip","1","0.0 kg","8",""
"29-Sep-14","dip","2","0.0 kg","8",""
"29-Sep-14","dip","3","0.0 kg","8",""
"29-Sep-14","dip","4","0.0 kg","7",""
"29-Sep-14","incline barbell bench press","1","44 kg","6",""
"29-Sep-14","incline barbell bench press","2","44 kg","6",""
"29-Sep-14","incline barbell bench press","3","44 kg","6",""
"29-Sep-14","barbell bench press","1","40 kg","8",""
"29-Sep-14","barbell bench press","2","40 kg","8",""
"29-Sep-14","barbell bench press","3","40 kg","12",""
"29-Sep-14","barbell bench press","4","52 kg","6",""
"29-Sep-14","barbell bench press","5","52 kg","6",""
"29-Sep-14","barbell bench press","6","52 kg","5",""
"29-Sep-14","captains chair leg raise","1","0.0 kg","8",""
"29-Sep-14","captains chair leg raise","2","0.0 kg","8",""
"29-Sep-14","captains chair leg raise","3","0.0 kg","8",""
"29-Sep-14","captains chair leg raise","4","0.0 kg","8",""
"29-Sep-14","kneeling cable crunch","1","26.25 kg","8",""
"29-Sep-14","kneeling cable crunch","2","26.25 kg","8",""
"29-Sep-14","kneeling cable crunch","3","26.25 kg","8",""
"29-Sep-14","kneeling cable crunch","4","26.25 kg","8",""

"30-Sep-14","one-arm row","1","18 kg","8",""
"30-Sep-14","one-arm row","2","18 kg","8",""
"30-Sep-14","one-arm row","3","18 kg","12",""
"30-Sep-14","one-arm row","4","22 kg","6",""
"30-Sep-14","one-arm row","5","22 kg","6",""
"30-Sep-14","one-arm row","6","22 kg","6",""
"30-Sep-14","calf raise","1","95 kg","12",""
"30-Sep-14","calf raise","2","95 kg","12",""
"30-Sep-14","calf raise","3","95 kg","12",""
"30-Sep-14","calf raise","4","95 kg","12",""
"30-Sep-14","deadlift","1","40 kg","8",""
"30-Sep-14","deadlift","2","40 kg","8",""
"30-Sep-14","deadlift","3","40 kg","12",""
"30-Sep-14","deadlift","4","55 kg","6",""
"30-Sep-14","deadlift","5","55 kg","6",""
"30-Sep-14","deadlift","6","55 kg","6",""
"30-Sep-14","lat pulldown","1","75 kg","6",""
"30-Sep-14","lat pulldown","2","75 kg","6",""
"30-Sep-14","lat pulldown","3","75 kg","6",""

"01-Oct-14","bar military press","1","20 kg","12",""
"01-Oct-14","bar military press","2","20 kg","12",""
"01-Oct-14","bar military press","3","20 kg","12",""
"01-Oct-14","bar military press","4","35 kg","6",""
"01-Oct-14","bar military press","5","35 kg","6",""
"01-Oct-14","bar military press","6","35 kg","5","failed on 6"
"01-Oct-14","barbell shrug","1","55 kg","12",""
"01-Oct-14","barbell shrug","2","55 kg","12",""
"01-Oct-14","barbell shrug","3","55 kg","12",""
"01-Oct-14","barbell shrug","4","55 kg","12",""
"01-Oct-14","cable side lateral raise","1","8 kg","8",""
"01-Oct-14","cable side lateral raise","2","8 kg","8",""
"01-Oct-14","cable side lateral raise","3","8 kg","8",""
"01-Oct-14","cable side lateral raise","4","8 kg","8",""
"01-Oct-14","barbell rear delt raise","1","30 kg","8",""
"01-Oct-14","barbell rear delt raise","2","30 kg","8",""
"01-Oct-14","barbell rear delt raise","3","30 kg","8",""
"01-Oct-14","barbell rear delt raise","4","30 kg","8",""

"02-Oct-14","romanian deadlift","1","55 kg","8",""
"02-Oct-14","romanian deadlift","2","55 kg","8",""
"02-Oct-14","romanian deadlift","3","55 kg","8",""
"02-Oct-14","romanian deadlift","4","55 kg","8",""
"02-Oct-14","captains chair leg raise","1","0.0 kg","8",""
"02-Oct-14","captains chair leg raise","2","0.0 kg","8",""
"02-Oct-14","captains chair leg raise","3","0.0 kg","8",""
"02-Oct-14","captains chair leg raise","4","0.0 kg","8",""
"02-Oct-14","machine leg press","1","55 kg","8",""
"02-Oct-14","machine leg press","2","55 kg","8",""
"02-Oct-14","machine leg press","3","55 kg","12",""
"02-Oct-14","machine leg press","4","105 kg","6",""
"02-Oct-14","machine leg press","5","105 kg","6",""
"02-Oct-14","machine leg press","6","105 kg","6",""

"03-Oct-14","air bicycles","1","0.0 kg","55",""
"03-Oct-14","air bicycles","2","0.0 kg","55",""
"03-Oct-14","air bicycles","3","0.0 kg","55",""
"03-Oct-14","air bicycles","4","0.0 kg","55",""
"03-Oct-14","cable triceps pushdown","1","31.25 kg","6",""
"03-Oct-14","cable triceps pushdown","2","31.25 kg","6",""
"03-Oct-14","cable triceps pushdown","3","31.25 kg","8",""
"03-Oct-14","barbell squat","1","0 kg","8",""
"03-Oct-14","barbell squat","2","0 kg","8",""
"03-Oct-14","barbell squat","3","30 kg","8",""
"03-Oct-14","barbell squat","4","40 kg","6",""
"03-Oct-14","barbell squat","5","40 kg","6",""
"03-Oct-14","barbell squat","6","40 kg","6",""
"03-Oct-14","seated triceps extension","1","18 kg","6",""
"03-Oct-14","standing biceps curl","1","30 kg","6",""
"03-Oct-14","standing biceps curl","2","30 kg","6",""
"03-Oct-14","standing biceps curl","3","25 kg","6",""
"03-Oct-14","dumbbell biceps curl","1","12 kg","8",""
"03-Oct-14","dumbbell biceps curl","2","12 kg","8",""
"03-Oct-14","dumbbell biceps curl","3","12 kg","8",""
"03-Oct-14","dumbbell biceps curl","4","14 kg","6","failed on left in 3!"
"03-Oct-14","dumbbell biceps curl","5","14 kg","6","failed on left in 4/5"
"03-Oct-14","dumbbell biceps curl","6","14 kg","6","failed on left in 4/5"
"03-Oct-14","lying triceps extension","1","18 kg","8",""
"03-Oct-14","lying triceps extension","2","18 kg","8",""
"03-Oct-14","lying triceps extension","3","18 kg","8",""
"03-Oct-14","kneeling cable crunch","1","28 kg","8",""
"03-Oct-14","kneeling cable crunch","2","28 kg","8",""
"03-Oct-14","kneeling cable crunch","3","28 kg","8",""

"06-Oct-14","air bicycles","1","0.0 kg","60",""
"06-Oct-14","air bicycles","2","0.0 kg","60",""
"06-Oct-14","air bicycles","3","0.0 kg","60",""
"06-Oct-14","dip","1","0.0 kg","8",""
"06-Oct-14","dip","2","0.0 kg","8",""
"06-Oct-14","dip","3","0.0 kg","8",""
"06-Oct-14","dip","4","0.0 kg","8",""
"06-Oct-14","incline barbell bench press","1","40 kg","8","no 22s or 24s available"
"06-Oct-14","incline barbell bench press","2","40 kg","8","no 22s or 24s available"
"06-Oct-14","incline barbell bench press","3","40 kg","8","no 22s or 24s available"
"06-Oct-14","barbell bench press","1","40 kg","8",""
"06-Oct-14","barbell bench press","2","40 kg","12",""
"06-Oct-14","barbell bench press","3","40 kg","8",""
"06-Oct-14","barbell bench press","4","52 kg","6",""
"06-Oct-14","barbell bench press","5","52 kg","6",""
"06-Oct-14","barbell bench press","6","52 kg","6",""
"06-Oct-14","captains chair leg raise","1","0.0 kg","8",""
